date,open,high,low,close,volume
2019-01-02,58.920802,58.967597,58.748975,58.832948,140577
2019-01-03,58.262220,58.324092,58.207942,58.269339,184842
2019-01-04,57.721916,57.862574,57.598298,57.663490,191681
2019-01-07,60.866561,60.975186,60.650047,60.813879,215828
2019-01-08,60.351030,60.382800,60.209313,60.305205,154807
2019-01-09,62.494289,62.630763,62.316325,62.390226,267592
2019-01-10,60.936645,61.031659,60.715807,60.835857,140458
2019-01-11,59.640234,59.757621,59.589226,59.651612,172569
2019-01-14,58.904688,58.965671,58.780442,58.848028,173047
2019-01-15,57.836549,57.978567,57.728648,57.869803,122946
2019-01-16,57.493331,57.742765,57.430444,57.573047,151528
2019-01-17,56.749189,56.810948,56.624464,56.772138,169461
2019-01-18,55.851623,55.925591,55.755071,55.858014,146088
2019-01-21,57.046442,57.252315,56.907821,57.188979,299608
2019-01-22,58.704295,58.770125,58.460335,58.628635,131971
2019-01-23,59.525484,59.860082,59.478488,59.773604,218568
2019-01-24,60.667904,60.822320,60.341089,60.421853,201614
2019-01-25,60.686042,60.854879,60.470988,60.549634,162191
2019-01-28,59.938677,60.022447,59.886054,59.962153,131097
2019-01-29,58.838920,58.948206,58.689478,58.838088,134314
2019-01-30,59.310840,59.434933,59.141635,59.283898,142986
2019-01-31,57.863972,58.019665,57.764963,57.915154,104147
2019-02-01,56.799293,56.889331,56.678155,56.782887,126643
2019-02-04,58.116833,58.186352,58.079124,58.129389,112350
2019-02-05,60.401018,60.513498,60.286934,60.409560,227855
2019-02-06,60.920960,61.012527,60.753440,60.904383,189968
2019-02-07,62.167657,62.445422,62.047389,62.290387,198093
2019-02-08,62.002133,62.151497,61.926333,61.998453,188566
2019-02-11,60.382324,60.432743,60.236594,60.367523,169692
2019-02-12,61.142345,61.186447,61.044720,61.130530,234490
2019-02-13,61.829787,62.021159,61.714649,61.849811,139707
2019-02-14,62.060088,62.174203,61.847851,61.954346,167153
2019-02-15,61.635580,61.831376,61.546027,61.668294,196175
2019-02-18,62.910402,62.951003,62.744489,62.888958,116972
2019-02-19,61.789612,61.901840,61.502501,61.669606,352973
2019-02-20,60.725024,60.844522,60.693870,60.732255,163921
2019-02-21,59.547075,59.704980,59.359221,59.527926,168635
2019-02-22,59.635871,59.688872,59.529792,59.644495,222842
2019-02-25,58.476326,58.540716,58.236558,58.367992,204585
2019-02-26,57.562175,57.671754,57.410265,57.584436,164311
2019-02-27,56.896138,57.047743,56.692115,56.786821,168136
2019-02-28,56.495124,56.664782,56.348946,56.503903,111743
2019-03-01,54.781389,55.015663,54.729673,54.852104,141617
2019-03-04,55.017994,55.177435,54.912633,54.961984,185220
2019-03-05,56.346468,56.401253,56.225679,56.372230,181856
2019-03-06,56.592665,56.627712,56.388776,56.540041,220861
2019-03-07,58.095906,58.385429,57.937242,58.334735,157924
2019-03-08,59.936409,60.018651,59.809516,59.935941,115056
2019-03-11,60.853961,61.052738,60.743589,60.895943,211966
2019-03-12,60.905276,61.169205,60.824364,61.002568,233053
2019-03-13,60.994611,61.104306,60.814677,61.045270,203732
2019-03-14,61.952300,62.132718,61.871809,62.005659,156231
2019-03-15,61.529885,61.706204,61.384646,61.534314,211313
2019-03-18,59.141028,59.360911,59.032803,59.262575,383550
2019-03-19,59.895145,59.940597,59.745736,59.866743,167508
2019-03-20,58.654586,58.751046,58.447782,58.534630,117250
2019-03-21,57.451148,57.533848,57.259718,57.426948,140565
2019-03-22,57.511109,57.622919,57.330589,57.441405,190302
2019-03-25,57.439934,57.531646,57.182663,57.345782,108966
2019-03-26,55.857156,55.887507,55.724813,55.753748,169795
2019-03-27,56.110432,56.277921,55.845386,55.953470,178989
2019-03-28,57.022794,57.171601,56.892042,57.065524,238895
2019-03-29,55.738667,55.892772,55.606973,55.798803,225832
2019-04-01,57.326803,57.492279,57.101335,57.259511,202024
2019-04-02,55.563262,55.612694,55.475932,55.504295,94781
2019-04-03,58.000831,58.057271,57.904410,57.933425,204897
2019-04-04,57.633253,57.778491,57.373798,57.470386,194148
2019-04-05,57.654190,57.720612,57.620158,57.653207,173509
2019-04-08,55.549616,55.688382,55.351121,55.514129,105603
2019-04-09,55.376944,55.523876,55.318512,55.458500,134028
2019-04-10,55.906220,55.938812,55.634010,55.727725,121575
2019-04-11,55.616894,55.744731,55.580585,55.644985,98346
2019-04-12,55.006490,55.086508,54.907196,55.031932,162636
2019-04-15,53.979361,54.136779,53.901097,54.007452,133324
2019-04-16,55.209792,55.379469,55.176023,55.263250,313742
2019-04-17,55.250657,55.466545,55.176742,55.311176,156030
2019-04-18,57.021382,57.206449,56.937070,57.066210,224906
2019-04-19,56.363352,56.532825,56.195682,56.479060,109943
2019-04-22,55.935163,56.141156,55.878125,56.001131,142554
2019-04-23,57.107917,57.228092,56.835430,56.941452,166745
2019-04-24,55.187136,55.307023,54.962674,55.126305,129697
2019-04-25,53.885156,54.024215,53.676969,53.810421,146451
2019-04-26,55.122221,55.228859,54.860895,55.025057,154123
2019-04-29,53.904370,53.994121,53.599466,53.756475,153510
2019-04-30,51.700274,51.946439,51.611151,51.838015,258791
2019-05-01,53.737288,53.903628,53.616866,53.836607,178895
2019-05-02,52.298095,52.411304,52.257506,52.361221,183483
2019-05-03,52.531443,52.675799,52.447242,52.568482,186262
2019-05-06,52.630855,52.711705,52.498091,52.654594,189691
2019-05-07,49.739446,49.807647,49.651739,49.772817,159416
2019-05-08,49.534451,49.559287,49.406411,49.518161,150213
2019-05-09,49.981794,50.082797,49.860979,49.979148,169685
2019-05-10,50.294447,50.419797,50.237429,50.349038,217336
2019-05-13,51.117712,51.407170,50.980244,51.285072,215681
2019-05-14,50.823695,50.972690,50.739858,50.899500,153261
2019-05-15,51.604408,51.735532,51.551489,51.646957,197197
2019-05-16,50.929532,51.025739,50.793879,50.948414,155026
2019-05-17,49.451648,49.640921,49.375268,49.535587,164138
2019-05-20,48.235735,48.338386,48.121137,48.271272,144584
2019-05-21,46.804421,47.020364,46.716893,46.883959,155529
2019-05-22,47.848530,47.993495,47.778926,47.857562,227597
2019-05-23,46.358375,46.554773,46.241334,46.433115,166559
2019-05-24,46.641832,46.832098,46.550359,46.701300,168353
2019-05-27,46.372451,46.539064,46.303987,46.463661,113345
2019-05-28,46.368614,46.464681,46.332725,46.379293,150646
2019-05-29,47.618758,47.793026,47.488349,47.680727,153226
2019-05-30,47.338097,47.444151,47.245967,47.273796,132285
2019-05-31,47.899900,48.030508,47.743518,47.870757,163638
2019-06-03,47.913762,48.028557,47.846688,47.918783,146196
2019-06-04,47.727139,47.927400,47.626990,47.784299,166042
2019-06-05,50.087701,50.156384,49.918687,50.059128,167774
2019-06-06,48.691140,48.816885,48.597978,48.640746,128163
2019-06-07,49.941474,50.053547,49.835051,49.930787,147314
2019-06-10,50.728624,50.841671,50.484869,50.606886,165933
2019-06-11,50.168088,50.234038,50.013505,50.133523,218835
2019-06-12,51.887502,52.015353,51.722493,51.816493,173542
2019-06-13,49.948075,50.085479,49.835105,49.938070,137932
2019-06-14,49.479045,49.530818,49.310625,49.428949,179827
2019-06-17,48.196226,48.353481,48.070792,48.253897,249418
2019-06-18,48.634075,48.739583,48.517133,48.667539,204674
2019-06-19,47.626803,47.768439,47.535929,47.601858,186629
2019-06-20,48.054821,48.136374,47.886477,48.030174,195125
2019-06-21,47.898677,47.949967,47.786312,47.862234,233278
2019-06-24,47.492969,47.562054,47.388099,47.414707,212970
2019-06-25,47.696450,47.900649,47.629363,47.798618,187529
2019-06-26,47.483308,47.585637,47.444398,47.552815,212598
2019-06-27,46.550427,46.643947,46.497007,46.534403,124192
2019-06-28,49.190352,49.383122,49.131134,49.243857,111796
2019-07-01,49.022876,49.151605,48.744849,48.775746,169274
2019-07-02,46.695587,46.726835,46.555849,46.659493,165573
2019-07-03,45.881799,46.024094,45.850371,45.887190,142062
2019-07-04,44.708796,44.843922,44.663720,44.743392,200078
2019-07-05,45.471565,45.545553,45.438269,45.504339,102158
2019-07-08,45.813082,45.837411,45.780871,45.811011,142387
2019-07-09,46.199047,46.241929,46.137273,46.191288,144171
2019-07-10,45.828706,45.979149,45.740268,45.860122,108112
2019-07-11,45.595754,45.639719,45.462993,45.614444,236495
2019-07-12,45.377903,45.427042,45.164816,45.286586,115867
2019-07-15,45.317787,45.426244,45.102223,45.223868,140493
2019-07-16,46.018878,46.109318,45.958238,46.001487,204228
2019-07-17,46.231745,46.438758,46.178011,46.324945,191283
2019-07-18,46.842657,46.953458,46.772509,46.804850,123371
2019-07-19,47.399451,47.429147,47.173523,47.289200,193034
2019-07-22,48.248801,48.380582,48.117390,48.149869,174983
2019-07-23,48.495081,48.546854,48.350077,48.441716,291635
2019-07-24,48.908813,49.000932,48.750036,48.804682,180049
2019-07-25,50.002082,50.107622,49.942650,49.998078,157108
2019-07-26,49.392424,49.437942,49.199039,49.345932,131383
2019-07-29,48.466306,48.658513,48.350377,48.515848,135122
2019-07-30,47.404773,47.486328,47.261165,47.384000,132396
2019-07-31,47.665278,47.695979,47.478599,47.570408,229297
2019-08-01,45.800199,45.971061,45.677567,45.840728,163487
2019-08-02,46.220468,46.371241,46.122770,46.280269,187458
2019-08-05,46.196909,46.300759,46.057799,46.190154,237651
2019-08-06,47.252022,47.353787,47.195161,47.268093,90254
2019-08-07,46.690527,46.811309,46.552364,46.645108,224071
2019-08-08,46.434638,46.493312,46.331305,46.466230,165024
2019-08-09,47.661257,47.717066,47.468250,47.538718,181454
2019-08-12,48.797305,48.973738,48.665588,48.891887,132309
2019-08-13,48.330229,48.363650,48.097227,48.239510,134755
2019-08-14,48.372619,48.537858,48.288720,48.428179,183911
2019-08-15,48.596585,48.800177,48.524827,48.727857,295418
2019-08-16,49.125110,49.183160,49.025095,49.107588,209154
2019-08-19,48.842335,48.885839,48.713790,48.860996,223324
2019-08-20,50.065593,50.264384,49.959771,50.149062,155127
2019-08-21,48.168878,48.415478,48.139402,48.290670,140077
2019-08-22,47.894593,47.966442,47.805728,47.895193,133893
2019-08-23,48.411361,48.503853,48.314341,48.340602,144052
2019-08-26,48.842092,48.894315,48.679895,48.799274,97421
2019-08-27,50.161936,50.265043,50.091422,50.157669,135777
2019-08-28,51.430800,51.458076,51.307542,51.393885,141479
2019-08-29,51.110110,51.200192,50.982504,51.112196,155773
2019-08-30,52.366574,52.589878,52.334309,52.479120,168204
2019-09-02,51.633312,51.888243,51.587030,51.743595,178191
2019-09-03,52.718504,52.811216,52.639695,52.734575,162148
2019-09-04,54.690692,54.835874,54.631910,54.703875,140735
2019-09-05,56.142564,56.254525,55.995589,56.070991,99624
2019-09-06,56.268142,56.426679,56.035940,56.204296,140951
2019-09-09,55.894973,55.978589,55.701124,55.844283,127629
2019-09-10,54.144070,54.237137,53.997353,54.166843,182867
2019-09-11,54.406797,54.667883,54.252138,54.519706,204295
2019-09-12,53.356530,53.389777,53.251458,53.323570,205796
2019-09-13,52.533987,52.578167,52.427404,52.492636,196661
2019-09-16,51.079372,51.299230,51.023943,51.263037,157411
2019-09-17,50.739503,50.935567,50.608834,50.803084,142844
2019-09-18,50.734420,50.813805,50.622861,50.787065,135026
2019-09-19,51.089028,51.224626,51.024261,51.079960,111650
2019-09-20,50.418359,50.561377,50.345631,50.479188,208556
2019-09-23,51.586408,51.615673,51.495266,51.589359,155799
2019-09-24,51.370241,51.463760,51.276729,51.386469,119182
2019-09-25,50.579150,50.640149,50.441483,50.591228,132372
2019-09-26,50.779959,50.939355,50.706256,50.834585,131039
2019-09-27,52.844795,53.011779,52.698345,52.895494,164514
2019-09-30,53.180134,53.358002,53.094864,53.266447,212536
2019-10-01,52.922334,52.954156,52.767041,52.892180,149193
2019-10-02,51.348531,51.458434,51.159613,51.304581,92676
2019-10-03,51.032235,51.224390,50.890930,51.091293,155236
2019-10-04,51.463092,51.581499,51.312990,51.345974,156521
2019-10-07,50.935804,51.091068,50.884141,50.959852,153855
2019-10-08,49.406459,49.455928,49.209899,49.293317,139125
2019-10-09,48.422480,48.601109,48.346026,48.469165,171846
2019-10-10,49.768709,49.985631,49.664084,49.920461,165468
2019-10-11,51.424984,51.452420,51.246900,51.393978,161747
2019-10-14,50.516878,50.648650,50.458612,50.498051,180441
2019-10-15,51.201307,51.347464,51.115230,51.198666,146172
2019-10-16,49.963442,50.118591,49.914427,50.011621,144113
2019-10-17,51.454428,51.512598,51.313686,51.457096,229815
2019-10-18,51.684657,51.782739,51.534180,51.724324,187182
2019-10-21,52.710906,52.822704,52.621469,52.734823,200132
2019-10-22,51.023599,51.163637,50.920535,50.959266,221134
2019-10-23,51.685629,51.730802,51.544072,51.671351,185625
2019-10-24,51.723429,51.856096,51.560247,51.676149,205273
2019-10-25,52.563975,52.646847,52.491085,52.582263,109662
2019-10-28,53.544556,53.707120,53.398995,53.572040,171277
2019-10-29,53.563397,53.806508,53.405943,53.656234,155487
2019-10-30,52.995385,53.107999,52.894978,53.024817,247563
2019-10-31,53.607854,53.952355,53.505231,53.876248,205235
2019-11-01,53.776752,53.959265,53.709866,53.824405,139022
2019-11-04,52.894352,52.997325,52.790612,52.900849,178652
2019-11-05,51.987547,52.102498,51.860565,51.943629,169722
2019-11-06,50.415171,50.539247,50.351876,50.435498,182331
2019-11-07,49.958870,50.002944,49.899476,49.932829,126157
2019-11-08,50.898319,51.198668,50.840714,51.065286,178082
2019-11-11,51.256563,51.311653,51.205581,51.260933,153731
2019-11-12,50.602359,50.873763,50.508486,50.730161,174662
2019-11-13,51.477367,51.628927,51.374197,51.570837,135795
2019-11-14,50.712817,50.845491,50.610305,50.727059,140608
2019-11-15,50.934326,50.996040,50.762250,50.837004,218263
2019-11-18,50.694395,50.760018,50.587496,50.666184,125130
2019-11-19,51.480564,51.546202,51.346052,51.479156,127460
2019-11-20,49.882550,50.002223,49.798219,49.884011,160669
2019-11-21,48.997840,49.143151,48.852345,49.050346,134192
2019-11-22,47.433428,47.600689,47.357579,47.472164,130449
2019-11-25,47.266895,47.326850,47.136285,47.236613,167086
2019-11-26,48.313084,48.521651,48.282844,48.413689,111718
2019-11-27,47.978484,48.092787,47.833577,47.935841,126501
2019-11-28,47.430054,47.499412,47.305381,47.457711,271990
2019-11-29,48.368910,48.441535,48.171109,48.309087,182566
2019-12-02,49.441978,49.526377,49.223021,49.370803,135044
2019-12-03,49.171400,49.363594,49.112126,49.295112,180692
2019-12-04,49.947449,50.056312,49.850629,49.991060,187555
2019-12-05,48.869129,49.040359,48.789629,48.931923,208689
2019-12-06,50.182701,50.371840,50.086875,50.319524,157662
2019-12-09,52.473510,52.674389,52.426618,52.554907,207757
2019-12-10,53.316421,53.467712,52.981633,53.121895,97771
2019-12-11,51.000065,51.097628,50.812140,50.953481,124981
2019-12-12,50.541970,50.644499,50.315179,50.397032,169560
2019-12-13,51.098158,51.132513,50.973392,51.034689,176735
2019-12-16,50.560057,50.751081,50.516975,50.616381,129580
2019-12-17,51.911382,52.004163,51.796688,51.941126,173660
2019-12-18,52.618632,52.725850,52.504906,52.572229,139251
2019-12-19,51.877311,52.030234,51.699483,51.843289,151866
2019-12-20,51.844832,51.992966,51.731939,51.889770,210279
2019-12-23,50.862359,51.095672,50.754825,50.977823,204277
2019-12-24,51.054056,51.136421,50.707060,50.803511,126846
2019-12-25,50.241737,50.285086,50.210866,50.252376,124952
2019-12-26,51.441484,51.594989,51.295915,51.466631,146855
