date,open,high,low,close,volume
2019-01-02,75.043484,75.250517,74.920625,74.969913,185368
2019-01-03,72.821421,72.961965,72.561542,72.756774,231504
2019-01-04,73.005208,73.272436,72.864934,73.098173,211107
2019-01-07,72.316928,72.489050,72.083260,72.188855,157984
2019-01-08,73.640120,73.705613,73.493984,73.551496,138503
2019-01-09,73.938451,74.051616,73.726475,73.984250,136979
2019-01-10,72.385362,72.475141,72.253220,72.426093,168267
2019-01-11,71.948071,72.112713,71.861206,72.019104,179277
2019-01-14,72.362612,72.625185,72.263075,72.503106,131189
2019-01-15,72.282619,72.499087,72.125504,72.210478,119226
2019-01-16,72.467742,72.582058,72.233408,72.378492,166028
2019-01-17,72.277468,72.545606,72.073291,72.378007,202028
2019-01-18,73.157261,73.456389,72.963999,73.292691,165786
2019-01-21,73.666977,73.845208,73.545357,73.770611,152918
2019-01-22,73.752009,73.799672,73.550580,73.739815,122700
2019-01-23,73.625243,73.915780,73.510552,73.778183,138899
2019-01-24,72.796209,72.960056,72.591090,72.673266,202724
2019-01-25,74.339998,74.562693,74.001515,74.221101,118978
2019-01-28,77.475191,77.583387,77.328373,77.425908,253515
2019-01-29,77.178179,77.389718,76.983624,77.084552,166253
2019-01-30,77.164040,77.276300,76.927756,77.157240,109471
2019-01-31,78.351356,78.525573,78.231363,78.296726,184574
2019-02-01,79.291815,79.605304,79.101408,79.446757,182144
2019-02-04,79.835264,79.885756,79.442874,79.669097,145888
2019-02-05,78.537295,78.649450,78.397539,78.594750,205834
2019-02-06,80.653396,80.713504,80.612561,80.668982,139390
2019-02-07,81.777701,81.894405,81.356609,81.473739,190612
2019-02-08,81.723726,81.944004,81.660069,81.750704,161345
2019-02-11,81.028315,81.103824,80.813862,80.938546,151615
2019-02-12,81.089187,81.252552,80.826104,81.026651,227691
2019-02-13,78.831486,79.085934,78.705609,78.989403,208123
2019-02-14,79.725203,80.043952,79.599252,79.844940,123393
2019-02-15,81.236626,81.439392,80.836069,80.989298,178988
2019-02-18,81.345838,81.544203,81.116401,81.275231,261283
2019-02-19,80.195294,80.342648,79.983519,80.197324,229170
2019-02-20,80.669516,80.832187,80.566994,80.734384,129658
2019-02-21,81.701806,81.907989,81.454017,81.662598,242557
2019-02-22,80.878252,80.956320,80.673146,80.827919,205357
2019-02-25,81.955229,82.055575,81.824873,81.927391,125223
2019-02-26,82.693398,82.772773,82.458821,82.561016,171428
2019-02-27,82.155744,82.442497,82.040493,82.262710,183398
2019-02-28,81.513916,81.817330,81.346264,81.636457,124339
2019-03-01,81.578750,81.752617,81.363585,81.451311,194176
2019-03-04,80.613860,80.737925,80.134126,80.359199,298772
2019-03-05,80.779766,80.840386,80.521503,80.677799,228960
2019-03-06,81.499271,81.725670,81.113172,81.340930,169481
2019-03-07,82.712846,82.868495,82.661894,82.722132,151699
2019-03-08,83.127075,83.253215,82.981187,83.093907,176680
2019-03-11,83.610208,83.775093,83.531978,83.578533,127541
2019-03-12,83.276722,83.365429,83.178403,83.283646,144439
2019-03-13,82.453742,82.522292,82.061107,82.279561,99663
2019-03-14,81.938123,82.062162,81.752819,81.801207,181432
2019-03-15,83.446891,83.586072,83.314180,83.496893,149585
2019-03-18,84.065474,84.367096,83.998732,84.273491,189949
2019-03-19,84.776243,85.015898,84.645509,84.784328,167701
2019-03-20,82.508369,82.802515,82.294084,82.651519,126411
2019-03-21,83.044017,83.185912,82.870196,83.041068,171120
2019-03-22,81.380051,81.692851,81.189468,81.511594,136166
2019-03-25,80.242200,80.473207,79.981300,80.091246,246189
2019-03-26,78.901674,78.963256,78.595248,78.820754,131811
2019-03-27,78.059602,78.261295,77.805118,77.982384,144709
2019-03-28,79.057406,79.212362,78.807767,78.930464,126323
2019-03-29,79.252038,79.320624,79.081522,79.205571,123617
2019-04-01,78.238193,78.335433,77.955444,78.174074,163982
2019-04-02,77.720453,77.853037,77.403022,77.553554,119208
2019-04-03,78.108554,78.298373,77.931564,78.124317,155286
2019-04-04,78.993870,79.081278,78.800490,78.922235,181226
2019-04-05,78.968037,79.238290,78.884391,79.092981,146398
2019-04-08,77.846324,78.018495,77.657350,77.837068,93832
2019-04-09,77.665960,77.791923,77.247324,77.403645,227178
2019-04-10,80.180959,80.394045,79.942665,80.083079,173971
2019-04-11,78.730481,78.951162,78.568292,78.740638,174493
2019-04-12,79.212895,79.345713,79.100653,79.181475,153581
2019-04-15,81.618201,81.860110,81.415393,81.620772,199331
2019-04-16,81.354742,81.410792,81.093037,81.326477,205766
2019-04-17,83.441354,83.533772,83.213746,83.491324,210974
2019-04-18,82.764470,82.884616,82.595268,82.703079,174064
2019-04-19,80.504435,80.665664,80.318579,80.440447,115382
2019-04-22,79.804388,79.969822,79.602408,79.803593,180104
2019-04-23,78.988301,79.121879,78.814730,78.971710,174008
2019-04-24,77.183226,77.245915,76.999552,77.143794,141894
2019-04-25,76.648210,76.779927,76.432322,76.708876,133190
2019-04-26,77.871839,78.076671,77.672012,77.815197,186420
2019-04-29,77.273203,77.479505,77.044928,77.182880,159698
2019-04-30,76.961600,77.129741,76.746400,76.792863,147630
2019-05-01,78.358175,78.527471,78.268019,78.320772,247236
2019-05-02,77.450110,77.669295,77.409948,77.514715,192506
2019-05-03,78.206786,78.297654,77.989128,78.218863,181431
2019-05-06,76.237088,76.487963,76.121134,76.368017,220710
2019-05-07,75.431107,75.600052,75.222960,75.348899,176768
2019-05-08,74.909026,75.279676,74.713254,75.141181,136485
2019-05-09,76.578554,76.620401,76.306346,76.461035,147650
2019-05-10,75.627746,75.845848,75.345252,75.498042,195435
2019-05-13,74.206822,74.729158,74.114706,74.534471,190271
2019-05-14,74.985976,75.072312,74.649356,74.842808,181966
2019-05-15,75.439769,75.593753,75.254811,75.323700,122464
2019-05-16,74.213052,74.453843,74.166084,74.245354,199454
2019-05-17,73.585723,73.772062,73.513682,73.717509,160130
2019-05-20,74.788105,75.013816,74.700652,74.882205,189091
2019-05-21,73.575372,73.780025,73.486656,73.659180,132251
2019-05-22,74.182588,74.295754,73.875309,74.036434,266068
2019-05-23,73.465105,73.704949,73.388366,73.514621,173143
2019-05-24,75.113278,75.222314,74.847015,75.011414,146622
2019-05-27,75.637421,75.701366,75.582370,75.651499,191290
2019-05-28,76.628812,76.679739,76.555973,76.622482,201695
2019-05-29,75.881531,76.106972,75.747065,76.060813,190711
2019-05-30,76.843399,77.093068,76.627873,76.975844,126918
2019-05-31,78.024170,78.203315,77.666844,77.873124,216569
2019-06-03,78.451468,78.548997,78.222242,78.469797,149310
2019-06-04,78.212003,78.377513,78.010527,78.176746,162101
2019-06-05,78.590442,78.764734,78.206462,78.378074,93696
2019-06-06,76.351354,76.452878,76.193875,76.365973,144927
2019-06-07,78.294017,78.472401,78.132962,78.315661,144699
2019-06-10,77.808992,77.981119,77.601079,77.668480,182162
2019-06-11,77.322551,77.451412,77.177352,77.321119,142735
2019-06-12,75.946226,76.048130,75.798568,75.909788,108510
2019-06-13,76.772623,76.929844,76.534863,76.658002,172985
2019-06-14,77.256027,77.483517,77.116258,77.256014,152877
2019-06-17,77.044321,77.165058,76.890232,76.953410,135653
2019-06-18,74.454240,74.577342,74.350100,74.467180,166355
2019-06-19,73.847689,73.970325,73.690600,73.739166,104303
2019-06-20,74.288452,74.339751,74.022581,74.241532,190063
2019-06-21,74.501334,74.666859,74.442008,74.526532,155484
2019-06-24,74.505838,74.604316,74.412143,74.497541,152234
2019-06-25,73.799135,74.130235,73.597794,74.070715,206529
2019-06-26,72.579981,72.700873,72.326591,72.450247,142350
2019-06-27,73.328622,73.504238,73.267092,73.466883,173626
2019-06-28,71.885433,72.109222,71.780439,72.000899,157569
2019-07-01,71.764578,71.866649,71.707908,71.811760,363664
2019-07-02,70.594032,70.824093,70.523400,70.784402,183891
2019-07-03,71.858388,72.042431,71.762776,71.808020,122349
2019-07-04,72.461640,72.663853,72.306867,72.422422,252218
2019-07-05,72.023072,72.149132,71.841819,72.075673,211239
2019-07-08,72.730928,72.939537,72.588018,72.804975,164594
2019-07-09,71.225830,71.385185,71.082249,71.299989,145898
2019-07-10,71.304304,71.427942,71.167265,71.238608,116821
2019-07-11,70.031745,70.311292,69.936521,70.199563,181250
2019-07-12,71.202706,71.329961,71.016646,71.246416,137476
2019-07-15,71.480279,71.805913,71.428839,71.644642,130614
2019-07-16,72.410672,72.469776,72.135978,72.327271,197570
2019-07-17,71.744945,71.826562,71.622317,71.781147,239480
2019-07-18,72.622140,72.797827,72.374485,72.562630,144485
2019-07-19,71.575219,71.730167,71.348798,71.441316,199082
2019-07-22,70.614451,70.737766,70.385618,70.480563,171622
2019-07-23,70.216608,70.441831,70.049562,70.324426,178029
2019-07-24,69.449102,69.570189,69.245941,69.416880,132633
2019-07-25,70.255576,70.367462,70.062262,70.137598,154339
2019-07-26,69.759612,69.863012,69.482475,69.686809,123727
2019-07-29,68.727176,68.847396,68.596461,68.645283,119892
2019-07-30,67.314688,67.618166,67.269503,67.495237,185269
2019-07-31,68.253861,68.406050,68.048593,68.184195,142761
2019-08-01,65.707396,65.935502,65.555819,65.785641,129473
2019-08-02,64.931105,65.024870,64.678175,64.866431,120285
2019-08-05,66.251264,66.352884,66.087346,66.187446,111476
2019-08-06,65.940841,66.035416,65.845436,65.882543,99797
2019-08-07,66.561982,66.695615,66.428376,66.573031,167332
2019-08-08,67.127928,67.237574,66.913651,66.995669,84384
2019-08-09,66.883512,67.065702,66.726601,66.832354,183107
2019-08-12,65.327345,65.473737,65.183469,65.295854,182785
2019-08-13,64.006843,64.272733,63.964517,64.096682,158771
2019-08-14,62.941875,63.084932,62.796622,62.904501,165799
2019-08-15,63.540875,63.726889,63.253641,63.352839,151548
2019-08-16,63.840873,64.107941,63.695229,63.974277,172180
2019-08-19,63.267979,63.452018,63.065154,63.198767,171680
2019-08-20,63.226111,63.282725,63.084199,63.145010,225342
2019-08-21,63.332582,63.372558,63.104945,63.169083,238758
2019-08-22,63.324860,63.448205,63.184677,63.255999,236936
2019-08-23,62.593812,62.779010,62.533510,62.592809,133327
2019-08-26,64.121474,64.220479,63.943525,64.080852,196699
2019-08-27,64.691020,64.783707,64.497848,64.717042,184705
2019-08-28,64.919904,65.037010,64.663346,64.801390,138380
2019-08-29,64.193984,64.480020,64.064523,64.343484,130406
2019-08-30,63.557749,63.686214,63.460835,63.604295,148126
2019-09-02,64.024039,64.170457,63.899232,63.981221,124838
2019-09-03,63.681369,63.868452,63.393139,63.569716,114999
2019-09-04,63.706019,63.882048,63.519838,63.707336,184304
2019-09-05,61.958058,62.107085,61.850131,62.030851,164092
2019-09-06,61.563468,61.664040,61.488022,61.582947,163881
2019-09-09,61.470264,61.591998,61.321179,61.504118,205186
2019-09-10,62.340613,62.463348,62.288799,62.370642,154976
2019-09-11,61.536371,61.622798,61.387824,61.576567,200304
2019-09-12,60.269411,60.453776,60.115882,60.308739,135300
2019-09-13,60.550180,60.792233,60.500998,60.706433,135089
2019-09-16,60.694769,60.858618,60.488962,60.667455,163324
2019-09-17,59.279599,59.446611,59.044149,59.219663,276600
2019-09-18,57.977329,58.009859,57.682922,57.847312,224437
2019-09-19,57.408339,57.578914,57.234576,57.334343,214165
2019-09-20,57.351075,57.481552,57.217653,57.281533,115498
2019-09-23,58.462739,58.568029,58.322547,58.436792,168767
2019-09-24,57.410828,57.647852,57.321851,57.563015,199840
2019-09-25,58.044318,58.148583,57.961054,58.019937,274122
2019-09-26,56.453354,56.527396,56.355833,56.443839,106837
2019-09-27,56.836266,56.953163,56.626039,56.748601,195387
2019-09-30,58.038854,58.081365,57.950217,57.989492,212371
2019-10-01,58.110281,58.240916,58.032788,58.121603,182213
2019-10-02,57.757965,57.826602,57.557457,57.588814,116124
2019-10-03,58.694427,58.726362,58.480675,58.619823,173392
2019-10-04,58.956279,59.067221,58.802391,58.926238,181172
2019-10-07,59.110786,59.225822,59.031652,59.070442,170151
2019-10-08,58.244878,58.336114,58.069949,58.239533,137140
2019-10-09,58.557772,58.597633,58.523733,58.556323,132958
2019-10-10,57.817103,58.164482,57.702920,58.005931,182415
2019-10-11,58.198194,58.396410,58.056137,58.278188,137435
2019-10-14,58.286505,58.379879,58.142553,58.333837,138221
2019-10-15,59.293393,59.398777,59.218635,59.253341,157170
2019-10-16,58.641309,58.889428,58.479105,58.786955,169387
2019-10-17,58.632323,58.716395,58.468380,58.678195,211014
2019-10-18,59.304230,59.481790,59.191346,59.362048,120690
2019-10-21,59.189791,59.338998,59.078514,59.179427,117745
2019-10-22,59.217331,59.357825,59.140883,59.177109,147927
2019-10-23,58.795415,58.911716,58.683417,58.852427,103772
2019-10-24,58.681073,58.887611,58.591676,58.731636,188459
2019-10-25,59.248380,59.389345,59.104287,59.308901,98874
2019-10-28,60.853846,61.064004,60.761975,60.889478,194238
2019-10-29,59.468520,59.513487,59.337157,59.473083,214754
2019-10-30,58.546514,58.646952,58.387218,58.431247,173672
2019-10-31,58.241068,58.445895,58.192589,58.329655,102300
